Bench reconciliation...
6ll: -1083.929502
ll: -1523.46884
ll: -1523.641577
ll: -1523.641577
ll: -1518.605173
ll: -1516.218325
ll: -1516.218325
ll: -1429.280653
ll: -1529.968841
ll: -1530.127008
ll: -1530.127008
ll: -1441.650093
ll: -1441.650093
ll: -1345.968891
ll: -1443.871114
ll: -1439.634243
ll: -1439.634243
ll: -1451.251364
ll: -1451.034819
ll: -1451.034819
ll: -1356.45947
ll: -1255.978451
ll: -1442.371944
ll: -1440.84497
ll: -1440.84497
ll: -1351.061176
ll: -1351.061176
ll: -1376.816636
ll: -1374.742951
ll: -1374.742951
ll: -1275.689207
ll: -1174.345315
ll: -1350.909137
ll: -1351.141987
ll: -1351.141987
ll: -1350.067653
ll: -1350.288265
ll: -1350.288265
ll: -1251.9529
ll: -1526.426578
ll: -1657.140636
ll: -1657.325795
ll: -1657.325795
ll: -1524.163571
ll: -1400.486493
ll: -1400.486493
ll: -1511.975788
ll: -1507.195895
ll: -1507.195895
ll: -1516.070669
ll: -1513.916474
ll: -1513.916474
ll: -1387.900768
ll: -1275.894918
ll: -1799.547734
ll: -1799.630615
ll: -1799.630615
ll: -1652.977194
ll: -1652.977194
ll: -1519.448633
ll: -1519.448633
ll: -1512.492718
ll: -1649.665211
ll: -1649.745102
ll: -1649.745102
ll: -1512.305644
ll: -1389.352027
ll: -1536.218233
ll: -1536.173789
ll: -1536.173789
ll: -1535.859772
ll: -1536.088653
ll: -1536.088653
ll: -1407.030653
ll: -1287.511224
ll: -1190.366739
ll: -1484.029309
ll: -1484.133695
ll: -1484.133695
ll: -1372.378021
ll: -1372.378021
ll: -1397.583142
ll: -1522.530576
ll: -1524.855487
ll: -1524.855487
ll: -1395.568734
ll: -1274.836246
ll: -1172.908739
ll: -1095.016643
ll: -1466.897089
ll: -1469.532835
ll: -1469.532835
ll: -1370.051202
ll: -1370.051202
ll: -1444.567273
ll: -1442.143875
ll: -1442.143875
ll: -1354.287785
ll: -1354.287785
ll: -1273.240987
ll: -1216.588404
ll: -1216.588404
ll: -1116.053022
ll: -1071.639195
ll: -1101.274021
ll: -1101.274021
ll: -1080.295784
ll: -1083.888432
ll: -1083.888432
ELAPSED 6.87
